,Unnamed: 0,class,object,session,im_num,im_path,task,label
0,40730,3,13,4,270,s4/o13/C_04_13_270.png,0.0,0
1,59844,4,19,2,210,s2/o19/C_02_19_210.png,0.0,1
2,69241,5,22,1,10,s1/o22/C_01_22_010.png,0.0,2
3,102242,7,32,1,30,s1/o32/C_01_32_030.png,0.0,3
4,102362,7,32,1,150,s1/o32/C_01_32_150.png,0.0,3
5,124287,8,38,8,190,s8/o38/C_08_38_190.png,0.0,4
6,6482,1,2,11,190,s11/o2/C_11_02_190.png,0.0,5
7,130004,8,40,5,210,s5/o40/C_05_40_210.png,0.0,4
8,160457,10,49,8,90,s8/o49/C_08_49_090.png,0.0,6
9,80615,5,25,5,290,s5/o25/C_05_25_290.png,0.0,2
10,83789,6,26,5,170,s5/o26/C_05_26_170.png,0.0,7
11,23633,2,8,2,250,s2/o8/C_02_08_250.png,0.0,8
12,7619,1,3,4,130,s4/o3/C_04_03_130.png,0.0,5
13,159337,10,49,4,170,s4/o49/C_04_49_170.png,0.0,6
14,96562,6,30,4,50,s4/o30/C_04_30_050.png,0.0,7
15,158857,10,49,2,290,s2/o49/C_02_49_290.png,0.0,6
16,87884,6,27,8,70,s8/o27/C_08_27_070.png,0.0,7
17,162137,10,50,2,270,s2/o50/C_02_50_270.png,0.0,6
18,157139,10,48,8,70,s8/o48/C_08_48_070.png,0.0,6
19,73777,5,23,5,50,s5/o23/C_05_23_050.png,0.0,2
20,6802,1,3,1,210,s1/o3/C_01_03_210.png,0.0,5
21,149908,10,46,6,30,s6/o46/C_06_46_030.png,0.0,6
22,83769,6,26,5,150,s5/o26/C_05_26_150.png,0.0,7
23,74257,5,23,6,230,s6/o23/C_06_23_230.png,0.0,2
24,103542,7,32,5,130,s5/o32/C_05_32_130.png,0.0,3
25,164636,10,50,11,70,s11/o50/C_11_50_070.png,0.0,6
26,155084,10,48,1,110,s1/o48/C_01_48_110.png,0.0,6
27,126744,8,39,5,250,s5/o39/C_05_39_250.png,0.0,4
28,10057,1,4,1,170,s1/o4/C_01_04_170.png,0.0,5
29,135120,9,41,11,230,s11/o41/C_11_41_230.png,0.0,9
30,47446,3,15,5,90,s5/o15/C_05_15_090.png,0.0,0
31,106519,7,33,4,110,s4/o33/C_04_33_110.png,0.0,3
32,3404,1,2,1,110,s1/o2/C_01_02_110.png,0.0,5
33,54405,4,17,6,170,s6/o17/C_06_17_170.png,0.0,1
34,26867,2,9,2,190,s2/o9/C_02_09_190.png,0.0,8
35,108679,7,33,11,170,s11/o33/C_11_33_170.png,0.0,3
36,25512,2,8,9,30,s9/o8/C_09_08_030.png,0.0,8
37,55865,4,17,11,130,s11/o17/C_11_17_130.png,0.0,1
38,4784,1,2,5,290,s5/o2/C_05_02_290.png,0.0,5
39,160577,10,49,8,210,s8/o49/C_08_49_210.png,0.0,6
40,31020,2,10,5,150,s5/o10/C_05_10_150.png,0.0,8
41,106739,7,33,5,30,s5/o33/C_05_33_030.png,0.0,3
42,87984,6,27,8,170,s8/o27/C_08_27_170.png,0.0,7
43,163817,10,50,8,150,s8/o50/C_08_50_150.png,0.0,6
44,66481,5,21,2,250,s2/o21/C_02_21_250.png,0.0,2
45,122053,8,38,1,50,s1/o38/C_01_38_050.png,0.0,4
46,96182,6,30,2,270,s2/o30/C_02_30_270.png,0.0,7
47,23993,2,8,4,10,s4/o8/C_04_08_010.png,0.0,8
48,116317,8,36,4,10,s4/o36/C_04_36_010.png,0.0,4
49,106619,7,33,4,210,s4/o33/C_04_33_210.png,0.0,3
50,47766,3,15,6,110,s6/o15/C_06_15_110.png,0.0,0
51,98082,6,30,9,70,s9/o30/C_09_30_070.png,0.0,7
52,2188,1,1,8,90,s8/o1/C_08_01_090.png,0.0,5
53,25752,2,8,9,270,s9/o8/C_09_08_270.png,0.0,8
54,134920,9,41,11,30,s11/o41/C_11_41_030.png,0.0,9
55,150528,10,46,8,50,s8/o46/C_08_46_050.png,0.0,6
56,34078,3,11,4,210,s4/o11/C_04_11_210.png,0.0,0
57,14974,1,5,6,290,s6/o5/C_06_05_290.png,0.0,5
58,9777,1,3,11,190,s11/o3/C_11_03_190.png,0.0,5
59,48482,3,15,8,230,s8/o15/C_08_15_230.png,0.0,0
60,126984,8,39,6,190,s6/o39/C_06_39_190.png,0.0,4
61,144794,9,44,11,10,s11/o44/C_11_44_010.png,0.0,9
62,135640,9,42,2,150,s2/o42/C_02_42_150.png,0.0,9
63,8119,1,3,6,30,s6/o3/C_06_03_030.png,0.0,5
64,97362,6,30,6,250,s6/o30/C_06_30_250.png,0.0,7
65,101462,7,31,9,150,s9/o31/C_09_31_150.png,0.0,3
66,63142,4,20,2,210,s2/o20/C_02_20_210.png,0.0,1
67,29540,2,9,11,170,s11/o9/C_11_09_170.png,0.0,8
68,70139,5,22,4,10,s4/o22/C_04_22_010.png,0.0,2
69,82175,5,25,11,50,s11/o25/C_11_25_050.png,0.0,2
70,125026,8,38,11,30,s11/o38/C_11_38_030.png,0.0,4
71,28903,2,9,9,130,s9/o9/C_09_09_130.png,0.0,8
72,135200,9,42,1,10,s1/o42/C_01_42_010.png,0.0,9
73,149348,10,46,4,70,s4/o46/C_04_46_070.png,0.0,6
74,92104,6,28,11,90,s11/o28/C_11_28_090.png,0.0,7
75,150828,10,46,9,50,s9/o46/C_09_46_050.png,0.0,6
76,44389,3,14,6,30,s6/o14/C_06_14_030.png,0.0,0
77,161657,10,50,1,90,s1/o50/C_01_50_090.png,0.0,6
78,68941,5,21,11,10,s11/o21/C_11_21_010.png,0.0,2
79,10397,1,4,2,210,s2/o4/C_02_04_210.png,0.0,5
80,24493,2,8,5,210,s5/o8/C_05_08_210.png,0.0,8
81,88784,6,27,11,70,s11/o27/C_11_27_070.png,0.0,7
82,4424,1,2,4,230,s4/o2/C_04_02_230.png,0.0,5
83,37630,3,12,5,170,s5/o12/C_05_12_170.png,0.0,0
84,151668,10,46,11,290,s11/o46/C_11_46_290.png,0.0,6
85,152967,10,47,5,90,s5/o47/C_05_47_090.png,0.0,6
86,161577,10,50,1,10,s1/o50/C_01_50_010.png,0.0,6
87,125824,8,39,2,230,s2/o39/C_02_39_230.png,0.0,4
88,122353,8,38,2,50,s2/o38/C_02_38_050.png,0.0,4
89,120354,8,37,6,150,s6/o37/C_06_37_150.png,0.0,4
90,67701,5,21,6,270,s6/o21/C_06_21_270.png,0.0,2
91,110479,7,34,6,170,s6/o34/C_06_34_170.png,0.0,3
92,125006,8,38,11,10,s11/o38/C_11_38_010.png,0.0,4
93,19673,2,6,11,190,s11/o6/C_11_06_190.png,0.0,8
94,70817,5,22,6,90,s6/o22/C_06_22_090.png,0.0,2
95,26329,2,8,11,250,s11/o8/C_11_08_250.png,0.0,8
96,40970,3,13,5,210,s5/o13/C_05_13_210.png,0.0,0
97,107799,7,33,8,190,s8/o33/C_08_33_190.png,0.0,3
98,67081,5,21,4,250,s4/o21/C_04_21_250.png,0.0,2
99,15794,1,5,9,210,s9/o5/C_09_05_210.png,0.0,5
100,59284,4,18,11,250,s11/o18/C_11_18_250.png,0.0,1
101,125804,8,39,2,210,s2/o39/C_02_39_210.png,0.0,4
102,70239,5,22,4,110,s4/o22/C_04_22_110.png,0.0,2
103,101482,7,31,9,170,s9/o31/C_09_31_170.png,0.0,3
104,71637,5,22,9,10,s9/o22/C_09_22_010.png,0.0,2
105,18873,2,6,8,290,s8/o6/C_08_06_290.png,0.0,8
106,145494,9,45,2,110,s2/o45/C_02_45_110.png,0.0,9
107,53712,4,17,4,70,s4/o17/C_04_17_070.png,0.0,1
108,98902,6,30,11,290,s11/o30/C_11_30_290.png,0.0,7
109,156559,10,48,6,90,s6/o48/C_06_48_090.png,0.0,6
110,60763,4,19,5,230,s5/o19/C_05_19_230.png,0.0,1
111,70719,5,22,5,290,s5/o22/C_05_22_290.png,0.0,2
112,153147,10,47,5,270,s5/o47/C_05_47_270.png,0.0,6
113,117737,8,36,8,230,s8/o36/C_08_36_230.png,0.0,4
114,43349,3,14,2,190,s2/o14/C_02_14_190.png,0.0,0
115,53812,4,17,4,170,s4/o17/C_04_17_170.png,0.0,1
116,139798,9,43,5,110,s5/o43/C_05_43_110.png,0.0,9
117,37710,3,12,5,250,s5/o12/C_05_12_250.png,0.0,0
118,92682,6,29,2,70,s2/o29/C_02_29_070.png,0.0,7
119,160697,10,49,9,30,s9/o49/C_09_49_030.png,0.0,6
120,24213,2,8,4,230,s4/o8/C_04_08_230.png,0.0,8
121,38550,3,12,8,190,s8/o12/C_08_12_190.png,0.0,0
122,7799,1,3,5,10,s5/o3/C_05_03_010.png,0.0,5
123,92124,6,28,11,110,s11/o28/C_11_28_110.png,0.0,7
124,3844,1,2,2,250,s2/o2/C_02_02_250.png,0.0,5
125,100482,7,31,6,70,s6/o31/C_06_31_070.png,0.0,3
126,57505,4,18,5,270,s5/o18/C_05_18_270.png,0.0,1
127,163977,10,50,9,10,s9/o50/C_09_50_010.png,0.0,6
128,135020,9,41,11,130,s11/o41/C_11_41_130.png,0.0,9
129,79476,5,25,2,50,s2/o25/C_02_25_050.png,0.0,2
130,74177,5,23,6,150,s6/o23/C_06_23_150.png,0.0,2
131,51894,4,16,9,50,s9/o16/C_09_16_050.png,0.0,1
132,82515,6,26,1,90,s1/o26/C_01_26_090.png,0.0,7
133,158297,10,49,1,30,s1/o49/C_01_49_030.png,0.0,6
134,159577,10,49,5,110,s5/o49/C_05_49_110.png,0.0,6
135,141877,9,44,1,90,s1/o44/C_01_44_090.png,0.0,9
136,33878,3,11,4,10,s4/o11/C_04_11_010.png,0.0,0
137,99842,7,31,4,30,s4/o31/C_04_31_030.png,0.0,3
138,120913,8,37,8,110,s8/o37/C_08_37_110.png,0.0,4
139,164656,10,50,11,90,s11/o50/C_11_50_090.png,0.0,6
140,57325,4,18,5,90,s5/o18/C_05_18_090.png,0.0,1
141,158837,10,49,2,270,s2/o49/C_02_49_270.png,0.0,6
142,154724,10,47,11,50,s11/o47/C_11_47_050.png,0.0,6
143,79456,5,25,2,30,s2/o25/C_02_25_030.png,0.0,2
144,80775,5,25,6,150,s6/o25/C_06_25_150.png,0.0,2
145,30820,2,10,4,250,s4/o10/C_04_10_250.png,0.0,8
146,4584,1,2,5,90,s5/o2/C_05_02_090.png,0.0,5
147,159677,10,49,5,210,s5/o49/C_05_49_210.png,0.0,6
148,67661,5,21,6,230,s6/o21/C_06_21_230.png,0.0,2
149,133160,9,41,5,70,s5/o41/C_05_41_070.png,0.0,9
150,106039,7,33,2,230,s2/o33/C_02_33_230.png,0.0,3
151,49382,3,15,11,230,s11/o15/C_11_15_230.png,0.0,0
152,113618,7,35,6,10,s6/o35/C_06_35_010.png,0.0,3
153,15294,1,5,8,10,s8/o5/C_08_05_010.png,0.0,5
154,8259,1,3,6,170,s6/o3/C_06_03_170.png,0.0,5
155,90064,6,28,4,150,s4/o28/C_04_28_150.png,0.0,7
156,65721,4,20,11,90,s11/o20/C_11_20_090.png,0.0,1
157,130384,8,40,6,290,s6/o40/C_06_40_290.png,0.0,4
158,145334,9,45,1,250,s1/o45/C_01_45_250.png,0.0,9
159,151808,10,47,1,130,s1/o47/C_01_47_130.png,0.0,6
160,32919,2,10,11,250,s11/o10/C_11_10_250.png,0.0,8
161,107079,7,33,6,70,s6/o33/C_06_33_070.png,0.0,3
162,52792,4,17,1,50,s1/o17/C_01_17_050.png,0.0,1
163,76157,5,24,2,30,s2/o24/C_02_24_030.png,0.0,2
164,50022,4,16,2,270,s2/o16/C_02_16_270.png,0.0,1
165,51694,4,16,8,150,s8/o16/C_08_16_150.png,0.0,1
166,115957,8,36,2,250,s2/o36/C_02_36_250.png,0.0,4
167,3624,1,2,2,30,s2/o2/C_02_02_030.png,0.0,5
168,80415,5,25,5,90,s5/o25/C_05_25_090.png,0.0,2
169,112379,7,35,1,270,s1/o35/C_01_35_270.png,0.0,3
170,50560,4,16,4,210,s4/o16/C_04_16_210.png,0.0,1
171,46307,3,15,1,150,s1/o15/C_01_15_150.png,0.0,0
172,71017,5,22,6,290,s6/o22/C_06_22_290.png,0.0,2
173,150628,10,46,8,150,s8/o46/C_08_46_150.png,0.0,6
174,84588,6,26,8,70,s8/o26/C_08_26_070.png,0.0,7
175,66981,5,21,4,150,s4/o21/C_04_21_150.png,0.0,2
176,20953,2,7,4,270,s4/o7/C_04_07_270.png,0.0,8
177,155504,10,48,2,230,s2/o48/C_02_48_230.png,0.0,6
178,160857,10,49,9,190,s9/o49/C_09_49_190.png,0.0,6
179,78876,5,24,11,50,s11/o24/C_11_24_050.png,0.0,2
180,115698,8,36,1,290,s1/o36/C_01_36_290.png,0.0,4
181,101202,7,31,8,190,s8/o31/C_08_31_190.png,0.0,3
182,57665,4,18,6,130,s6/o18/C_06_18_130.png,0.0,1
