,Unnamed: 0,class,object,session,im_num,im_path,task,label
147,134520,9,41,9,230,s9/o41/C_09_41_230.png,0.0,0
290,86805,6,27,4,190,s4/o27/C_04_27_190.png,0.0,1
400,49962,4,16,2,210,s2/o16/C_02_16_210.png,0.0,2
606,42630,3,13,11,70,s11/o13/C_11_13_070.png,0.0,3
1004,23533,2,8,2,150,s2/o8/C_02_08_150.png,0.0,4
61,26727,2,9,2,50,s2/o9/C_02_09_050.png,0.0,4
164,26527,2,9,1,150,s1/o9/C_01_09_150.png,0.0,4
563,151468,10,46,11,90,s11/o46/C_11_46_090.png,0.0,5
1159,108779,7,33,11,270,s11/o33/C_11_33_270.png,0.0,6
885,47586,3,15,5,230,s5/o15/C_05_15_230.png,0.0,3
201,162497,10,50,4,30,s4/o50/C_04_50_030.png,0.0,5
1154,116597,8,36,4,290,s4/o36/C_04_36_290.png,0.0,7
1130,81375,5,25,8,150,s8/o25/C_08_25_150.png,0.0,8
447,133080,9,41,4,290,s4/o41/C_04_41_290.png,0.0,0
235,530,1,1,2,230,s2/o1/C_02_01_230.png,0.0,9
327,14476,1,5,5,90,s5/o5/C_05_05_090.png,0.0,9
664,5622,1,2,8,230,s8/o2/C_08_02_230.png,0.0,9
897,120294,8,37,6,90,s6/o37/C_06_37_090.png,0.0,7
1099,160537,10,49,8,170,s8/o49/C_08_49_170.png,0.0,5
756,79616,5,25,2,190,s2/o25/C_02_25_190.png,0.0,8
807,87384,6,27,6,170,s6/o27/C_06_27_170.png,0.0,1
689,56505,4,18,2,170,s2/o18/C_02_18_170.png,0.0,2
552,117137,8,36,6,230,s6/o36/C_06_36_230.png,0.0,7
288,106539,7,33,4,130,s4/o33/C_04_33_130.png,0.0,6
922,90144,6,28,4,230,s4/o28/C_04_28_230.png,0.0,1
902,95382,6,29,11,70,s11/o29/C_11_29_070.png,0.0,1
620,38470,3,12,8,110,s8/o12/C_08_12_110.png,0.0,3
472,136260,9,42,4,170,s4/o42/C_04_42_170.png,0.0,0
562,20893,2,7,4,210,s4/o7/C_04_07_210.png,0.0,4
407,39630,3,13,1,70,s1/o13/C_01_13_070.png,0.0,3
593,33539,3,11,2,270,s2/o11/C_02_11_270.png,0.0,3
883,8817,1,3,8,130,s8/o3/C_08_03_130.png,0.0,9
416,139560,9,43,4,170,s4/o43/C_04_43_170.png,0.0,0
1183,147409,9,45,8,230,s8/o45/C_08_45_230.png,0.0,0
323,34655,3,11,6,190,s6/o11/C_06_11_190.png,0.0,3
644,39270,3,12,11,10,s11/o12/C_11_12_010.png,0.0,3
671,76137,5,24,2,10,s2/o24/C_02_24_010.png,0.0,8
998,23353,2,8,1,270,s1/o8/C_01_08_270.png,0.0,4
812,95902,6,30,1,290,s1/o30/C_01_30_290.png,0.0,1
523,51774,4,16,8,230,s8/o16/C_08_16_230.png,0.0,2
1192,67561,5,21,6,130,s6/o21/C_06_21_130.png,0.0,8
239,16294,1,5,11,110,s11/o5/C_11_05_110.png,0.0,9
488,83490,6,26,4,170,s4/o26/C_04_26_170.png,0.0,1
1122,5083,1,2,6,290,s6/o2/C_06_02_290.png,0.0,9
911,55325,4,17,9,190,s9/o17/C_09_17_190.png,0.0,2
514,147589,9,45,9,110,s9/o45/C_09_45_110.png,0.0,0
681,2468,1,1,9,70,s9/o1/C_09_01_070.png,0.0,9
526,136120,9,42,4,30,s4/o42/C_04_42_030.png,0.0,0
978,128844,8,40,1,250,s1/o40/C_01_40_250.png,0.0,7
72,94922,6,29,9,210,s9/o29/C_09_29_210.png,0.0,1
311,42210,3,13,9,250,s9/o13/C_09_13_250.png,0.0,3
378,122293,8,38,1,290,s1/o38/C_01_38_290.png,0.0,7
610,92264,6,28,11,250,s11/o28/C_11_28_250.png,0.0,1
287,47446,3,15,5,90,s5/o15/C_05_15_090.png,0.0,3
190,31899,2,10,8,130,s8/o10/C_08_10_130.png,0.0,4
143,77157,5,24,5,130,s5/o24/C_05_24_130.png,0.0,8
266,102402,7,32,1,190,s1/o32/C_01_32_190.png,0.0,6
683,107699,7,33,8,90,s8/o33/C_08_33_090.png,0.0,6
960,163217,10,50,6,150,s6/o50/C_06_50_150.png,0.0,5
755,85068,6,26,9,250,s9/o26/C_09_26_250.png,0.0,1
385,6562,1,2,11,270,s11/o2/C_11_02_270.png,0.0,9
173,118557,8,36,11,150,s11/o36/C_11_36_150.png,0.0,7
330,31180,2,10,6,10,s6/o10/C_06_10_010.png,0.0,4
824,100262,7,31,5,150,s5/o31/C_05_31_150.png,0.0,6
509,89564,6,28,2,250,s2/o28/C_02_28_250.png,0.0,1
227,35455,3,11,9,90,s9/o11/C_09_11_090.png,0.0,3
431,138660,9,43,1,170,s1/o43/C_01_43_170.png,0.0,0
107,163897,10,50,8,230,s8/o50/C_08_50_230.png,0.0,5
901,155064,10,48,1,90,s1/o48/C_01_48_090.png,0.0,5
150,161777,10,50,1,210,s1/o50/C_01_50_210.png,0.0,5
650,145294,9,45,1,210,s1/o45/C_01_45_210.png,0.0,0
851,105739,7,33,1,230,s1/o33/C_01_33_230.png,0.0,6
197,45967,3,14,11,110,s11/o14/C_11_14_110.png,0.0,3
355,24293,2,8,5,10,s5/o8/C_05_08_010.png,0.0,4
785,30080,2,10,2,110,s2/o10/C_02_10_110.png,0.0,4
1153,136500,9,42,5,110,s5/o42/C_05_42_110.png,0.0,0
928,146372,9,45,5,90,s5/o45/C_05_45_090.png,0.0,0
198,66141,5,21,1,210,s1/o21/C_01_21_210.png,0.0,8
747,104422,7,32,8,110,s8/o32/C_08_32_110.png,0.0,6
779,73437,5,23,4,10,s4/o23/C_04_23_010.png,0.0,8
855,60603,4,19,5,70,s5/o19/C_05_19_070.png,0.0,2
916,109939,7,34,4,230,s4/o34/C_04_34_230.png,0.0,6
157,18133,2,6,6,150,s6/o6/C_06_06_150.png,0.0,4
867,131900,9,41,1,10,s1/o41/C_01_41_010.png,0.0,0
97,1448,1,1,5,250,s5/o1/C_05_01_250.png,0.0,9
263,66501,5,21,2,270,s2/o21/C_02_21_270.png,0.0,8
1184,161937,10,50,2,70,s2/o50/C_02_50_070.png,0.0,5
752,138300,9,42,11,110,s11/o42/C_11_42_110.png,0.0,0
429,145414,9,45,2,30,s2/o45/C_02_45_030.png,0.0,0
628,157239,10,48,8,170,s8/o48/C_08_48_170.png,0.0,5
884,29660,2,9,11,290,s11/o9/C_11_09_290.png,0.0,4
19,70539,5,22,5,110,s5/o22/C_05_22_110.png,0.0,8
360,91604,6,28,9,190,s9/o28/C_09_28_190.png,0.0,1
193,109339,7,34,2,230,s2/o34/C_02_34_230.png,0.0,6
613,102602,7,32,2,90,s2/o32/C_02_32_090.png,0.0,6
1006,11437,1,4,6,50,s6/o4/C_06_04_050.png,0.0,9
238,7182,1,3,2,290,s2/o3/C_02_03_290.png,0.0,9
846,61743,4,19,9,10,s9/o19/C_09_19_010.png,0.0,2
123,43329,3,14,2,170,s2/o14/C_02_14_170.png,0.0,3
1171,71497,5,22,8,170,s8/o22/C_08_22_170.png,0.0,8
103,162517,10,50,4,50,s4/o50/C_04_50_050.png,0.0,5
3,94642,6,29,8,230,s8/o29/C_08_29_230.png,0.0,1
819,48502,3,15,8,250,s8/o15/C_08_15_250.png,0.0,3
95,100302,7,31,5,190,s5/o31/C_05_31_190.png,0.0,6
987,32679,2,10,11,10,s11/o10/C_11_10_010.png,0.0,4
976,146649,9,45,6,70,s6/o45/C_06_45_070.png,0.0,0
119,102802,7,32,2,290,s2/o32/C_02_32_290.png,0.0,6
381,61863,4,19,9,130,s9/o19/C_09_19_130.png,0.0,2
357,145174,9,45,1,90,s1/o45/C_01_45_090.png,0.0,0
635,92244,6,28,11,230,s11/o28/C_11_28_230.png,0.0,1
477,28603,2,9,8,130,s8/o9/C_08_09_130.png,0.0,4
781,61763,4,19,9,30,s9/o19/C_09_19_030.png,0.0,2
794,105719,7,33,1,210,s1/o33/C_01_33_210.png,0.0,6
1067,114298,7,35,8,90,s8/o35/C_08_35_090.png,0.0,6
587,10117,1,4,1,230,s1/o4/C_01_04_230.png,0.0,9
616,67321,5,21,5,190,s5/o21/C_05_21_190.png,0.0,8
837,13156,1,4,11,270,s11/o4/C_11_04_270.png,0.0,9
988,21253,2,7,5,270,s5/o7/C_05_07_270.png,0.0,4
636,26507,2,9,1,130,s1/o9/C_01_09_130.png,0.0,4
623,40470,3,13,4,10,s4/o13/C_04_13_010.png,0.0,3
784,116937,8,36,6,30,s6/o36/C_06_36_030.png,0.0,7
527,16793,2,6,2,10,s2/o6/C_02_06_010.png,0.0,4
502,76097,5,24,1,270,s1/o24/C_01_24_270.png,0.0,8
1174,111199,7,34,8,290,s8/o34/C_08_34_290.png,0.0,6
760,4344,1,2,4,150,s4/o2/C_04_02_150.png,0.0,9
293,52074,4,16,9,230,s9/o16/C_09_16_230.png,0.0,2
85,136740,9,42,6,50,s6/o42/C_06_42_050.png,0.0,0
573,9617,1,3,11,30,s11/o3/C_11_03_030.png,0.0,9
1098,117017,8,36,6,110,s6/o36/C_06_36_110.png,0.0,7
328,26807,2,9,2,130,s2/o9/C_02_09_130.png,0.0,4
1136,88304,6,27,9,190,s9/o27/C_09_27_190.png,0.0,1
1078,91504,6,28,9,90,s9/o28/C_09_28_090.png,0.0,1
73,10057,1,4,1,170,s1/o4/C_01_04_170.png,0.0,9
905,156123,10,48,4,250,s4/o48/C_04_48_250.png,0.0,5
948,6902,1,3,2,10,s2/o3/C_02_03_010.png,0.0,9
439,37333,3,12,4,170,s4/o12/C_04_12_170.png,0.0,3
350,155164,10,48,1,190,s1/o48/C_01_48_190.png,0.0,5
842,16833,2,6,2,50,s2/o6/C_02_06_050.png,0.0,4
314,133480,9,41,6,90,s6/o41/C_06_41_090.png,0.0,0
91,137400,9,42,8,110,s8/o42/C_08_42_110.png,0.0,0
304,76977,5,24,4,250,s4/o24/C_04_24_250.png,0.0,8
144,58225,4,18,8,90,s8/o18/C_08_18_090.png,0.0,2
603,46647,3,15,2,190,s2/o15/C_02_15_190.png,0.0,3
637,35275,3,11,8,210,s8/o11/C_08_11_210.png,0.0,3
914,78896,5,24,11,70,s11/o24/C_11_24_070.png,0.0,8
717,28963,2,9,9,190,s9/o9/C_09_09_190.png,0.0,4
1146,41730,3,13,8,70,s8/o13/C_08_13_070.png,0.0,3
863,3784,1,2,2,190,s2/o2/C_02_02_190.png,0.0,9
742,58145,4,18,8,10,s8/o18/C_08_18_010.png,0.0,2
448,38370,3,12,8,10,s8/o12/C_08_12_010.png,0.0,3
874,32319,2,10,9,250,s9/o10/C_09_10_250.png,0.0,4
529,56345,4,18,2,10,s2/o18/C_02_18_010.png,0.0,2
27,46527,3,15,2,70,s2/o15/C_02_15_070.png,0.0,3
660,46047,3,14,11,190,s11/o14/C_11_14_190.png,0.0,3
1087,48542,3,15,8,290,s8/o15/C_08_15_290.png,0.0,3
990,21493,2,7,6,210,s6/o7/C_06_07_210.png,0.0,4
1109,46487,3,15,2,30,s2/o15/C_02_15_030.png,0.0,3
168,55405,4,17,9,270,s9/o17/C_09_17_270.png,0.0,2
586,10037,1,4,1,150,s1/o4/C_01_04_150.png,0.0,9
958,115298,7,35,11,190,s11/o35/C_11_35_190.png,0.0,6
131,49482,4,16,1,30,s1/o16/C_01_16_030.png,0.0,2
965,16533,2,6,1,50,s1/o6/C_01_06_050.png,0.0,4
543,40590,3,13,4,130,s4/o13/C_04_13_130.png,0.0,3
827,112259,7,35,1,150,s1/o35/C_01_35_150.png,0.0,6
1177,102562,7,32,2,50,s2/o32/C_02_32_050.png,0.0,6
831,24453,2,8,5,170,s5/o8/C_05_08_170.png,0.0,4
745,18113,2,6,6,130,s6/o6/C_06_06_130.png,0.0,4
324,16693,2,6,1,210,s1/o6/C_01_06_210.png,0.0,4
549,32899,2,10,11,230,s11/o10/C_11_10_230.png,0.0,4
853,101062,7,31,8,50,s8/o31/C_08_31_050.png,0.0,6
1054,590,1,1,2,290,s2/o1/C_02_01_290.png,0.0,9
981,141977,9,44,1,190,s1/o44/C_01_44_190.png,0.0,0
816,125286,8,38,11,290,s11/o38/C_11_38_290.png,0.0,7
944,73917,5,23,5,190,s5/o23/C_05_23_190.png,0.0,8
421,164736,10,50,11,170,s11/o50/C_11_50_170.png,0.0,5
255,62762,4,20,1,130,s1/o20/C_01_20_130.png,0.0,2
1166,24573,2,8,5,290,s5/o8/C_05_08_290.png,0.0,4
339,67661,5,21,6,230,s6/o21/C_06_21_230.png,0.0,8
180,430,1,1,2,130,s2/o1/C_02_01_130.png,0.0,9
711,100442,7,31,6,30,s6/o31/C_06_31_030.png,0.0,6
600,75537,5,23,11,10,s11/o23/C_11_23_010.png,0.0,8
521,98722,6,30,11,110,s11/o30/C_11_30_110.png,0.0,1
359,77017,5,24,4,290,s4/o24/C_04_24_290.png,0.0,8
963,79716,5,25,2,290,s2/o25/C_02_25_290.png,0.0,8
1199,65841,4,20,11,210,s11/o20/C_11_20_210.png,0.0,2
698,123708,8,38,6,210,s6/o38/C_06_38_210.png,0.0,7
65,128964,8,40,2,70,s2/o40/C_02_40_070.png,0.0,7
546,28663,2,9,8,190,s8/o9/C_08_09_190.png,0.0,4
303,43010,3,14,1,150,s1/o14/C_01_14_150.png,0.0,3
80,130264,8,40,6,170,s6/o40/C_06_40_170.png,0.0,7
243,68421,5,21,9,90,s9/o21/C_09_21_090.png,0.0,8
716,92084,6,28,11,70,s11/o28/C_11_28_070.png,0.0,1
506,5762,1,2,9,70,s9/o2/C_09_02_070.png,0.0,9
269,138260,9,42,11,70,s11/o42/C_11_42_070.png,0.0,0
449,117597,8,36,8,90,s8/o36/C_08_36_090.png,0.0,7
83,113298,7,35,4,290,s4/o35/C_04_35_290.png,0.0,6
921,18793,2,6,8,210,s8/o6/C_08_06_210.png,0.0,4
669,87944,6,27,8,130,s8/o27/C_08_27_130.png,0.0,1
317,94662,6,29,8,250,s8/o29/C_08_29_250.png,0.0,1
932,158377,10,49,1,110,s1/o49/C_01_49_110.png,0.0,5
4,12416,1,4,9,130,s9/o4/C_09_04_130.png,0.0,9
216,24473,2,8,5,190,s5/o8/C_05_08_190.png,0.0,4
823,14576,1,5,5,190,s5/o5/C_05_05_190.png,0.0,9
558,129924,8,40,5,130,s5/o40/C_05_40_130.png,0.0,7
892,61643,4,19,8,210,s8/o19/C_08_19_210.png,0.0,2
126,5482,1,2,8,90,s8/o2/C_08_02_090.png,0.0,9
139,54505,4,17,6,270,s6/o17/C_06_17_270.png,0.0,2
1,32139,2,10,9,70,s9/o10/C_09_10_070.png,0.0,4
81,127644,8,39,8,250,s8/o39/C_08_39_250.png,0.0,7
703,79696,5,25,2,270,s2/o25/C_02_25_270.png,0.0,8
649,154704,10,47,11,30,s11/o47/C_11_47_030.png,0.0,5
1124,89504,6,28,2,190,s2/o28/C_02_28_190.png,0.0,1
574,153867,10,47,8,90,s8/o47/C_08_47_090.png,0.0,5
380,161417,10,49,11,150,s11/o49/C_11_49_150.png,0.0,5
249,130902,8,40,8,210,s8/o40/C_08_40_210.png,0.0,7
162,7559,1,3,4,70,s4/o3/C_04_03_070.png,0.0,9
51,79356,5,25,1,230,s1/o25/C_01_25_230.png,0.0,8
31,158277,10,49,1,10,s1/o49/C_01_49_010.png,0.0,5
688,3584,1,2,1,290,s1/o2/C_01_02_290.png,0.0,9
175,67041,5,21,4,210,s4/o21/C_04_21_210.png,0.0,8
169,96562,6,30,4,50,s4/o30/C_04_30_050.png,0.0,1
805,78197,5,24,8,270,s8/o24/C_08_24_270.png,0.0,8
428,64841,4,20,8,110,s8/o20/C_08_20_110.png,0.0,2
57,84128,6,26,6,210,s6/o26/C_06_26_210.png,0.0,1
918,42930,3,14,1,70,s1/o14/C_01_14_070.png,0.0,3
210,35395,3,11,9,30,s9/o11/C_09_11_030.png,0.0,3
937,88804,6,27,11,90,s11/o27/C_11_27_090.png,0.0,1
58,88044,6,27,8,230,s8/o27/C_08_27_230.png,0.0,1
1068,14656,1,5,5,270,s5/o5/C_05_05_270.png,0.0,9
825,132960,9,41,4,170,s4/o41/C_04_41_170.png,0.0,0
682,131820,8,40,11,230,s11/o40/C_11_40_230.png,0.0,7
232,32059,2,10,8,290,s8/o10/C_08_10_290.png,0.0,4
980,47486,3,15,5,130,s5/o15/C_05_15_130.png,0.0,3
221,136900,9,42,6,210,s6/o42/C_06_42_210.png,0.0,0
99,31999,2,10,8,230,s8/o10/C_08_10_230.png,0.0,4
1036,130244,8,40,6,150,s6/o40/C_06_40_150.png,0.0,7
762,30140,2,10,2,170,s2/o10/C_02_10_170.png,0.0,4
115,89544,6,28,2,230,s2/o28/C_02_28_230.png,0.0,1
626,111439,7,34,9,230,s9/o34/C_09_34_230.png,0.0,6
758,61663,4,19,8,230,s8/o19/C_08_19_230.png,0.0,2
708,143417,9,44,6,130,s6/o44/C_06_44_130.png,0.0,0
121,115857,8,36,2,150,s2/o36/C_02_36_150.png,0.0,7
321,157538,10,48,9,170,s9/o48/C_09_48_170.png,0.0,5
678,73697,5,23,4,270,s4/o23/C_04_23_270.png,0.0,8
478,64101,4,20,5,270,s5/o20/C_05_20_270.png,0.0,2
871,114278,7,35,8,70,s8/o35/C_08_35_070.png,0.0,6
722,69579,5,22,2,50,s2/o22/C_02_22_050.png,0.0,8
951,23013,2,7,11,230,s11/o7/C_11_07_230.png,0.0,4
132,127564,8,39,8,170,s8/o39/C_08_39_170.png,0.0,7
631,89064,6,28,1,50,s1/o28/C_01_28_050.png,0.0,1
854,151648,10,46,11,270,s11/o46/C_11_46_270.png,0.0,5
376,107919,7,33,9,10,s9/o33/C_09_33_010.png,0.0,6
550,43349,3,14,2,190,s2/o14/C_02_14_190.png,0.0,3
386,3404,1,2,1,110,s1/o2/C_01_02_110.png,0.0,9
7,14774,1,5,6,90,s6/o5/C_06_05_090.png,0.0,9
700,34755,3,11,6,290,s6/o11/C_06_11_290.png,0.0,3
206,70679,5,22,5,250,s5/o22/C_05_22_250.png,0.0,8
1142,93682,6,29,5,170,s5/o29/C_05_29_170.png,0.0,1
465,144117,9,44,8,230,s8/o44/C_08_44_230.png,0.0,0
204,94602,6,29,8,190,s8/o29/C_08_29_190.png,0.0,1
458,105939,7,33,2,130,s2/o33/C_02_33_130.png,0.0,6
803,119634,8,37,4,30,s4/o37/C_04_37_030.png,0.0,7
1008,153307,10,47,6,130,s6/o47/C_06_47_130.png,0.0,5
28,120933,8,37,8,130,s8/o37/C_08_37_130.png,0.0,7
971,4923,1,2,6,130,s6/o2/C_06_02_130.png,0.0,9
1051,133500,9,41,6,110,s6/o41/C_06_41_110.png,0.0,0
895,35075,3,11,8,10,s8/o11/C_08_11_010.png,0.0,3
189,39930,3,13,2,70,s2/o13/C_02_13_070.png,0.0,3
108,92464,6,29,1,150,s1/o29/C_01_29_150.png,0.0,1
471,134560,9,41,9,270,s9/o41/C_09_41_270.png,0.0,0
815,90524,6,28,6,10,s6/o28/C_06_28_010.png,0.0,1
1037,55105,4,17,8,270,s8/o17/C_08_17_270.png,0.0,2
437,97882,6,30,8,170,s8/o30/C_08_30_170.png,0.0,1
22,96902,6,30,5,90,s5/o30/C_05_30_090.png,0.0,1
588,34715,3,11,6,250,s6/o11/C_06_11_250.png,0.0,3
570,20933,2,7,4,250,s4/o7/C_04_07_250.png,0.0,4
1090,63802,4,20,4,270,s4/o20/C_04_20_270.png,0.0,2
687,128744,8,40,1,150,s1/o40/C_01_40_150.png,0.0,7
984,154367,10,47,9,290,s9/o47/C_09_47_290.png,0.0,5
93,55125,4,17,8,290,s8/o17/C_08_17_290.png,0.0,2
224,30960,2,10,5,90,s5/o10/C_05_10_090.png,0.0,4
857,67681,5,21,6,250,s6/o21/C_06_21_250.png,0.0,8
554,106059,7,33,2,250,s2/o33/C_02_33_250.png,0.0,6
946,124466,8,38,9,70,s9/o38/C_09_38_070.png,0.0,7
343,157478,10,48,9,110,s9/o48/C_09_48_110.png,0.0,5
814,929,1,1,4,30,s4/o1/C_04_01_030.png,0.0,9
973,101122,7,31,8,110,s8/o31/C_08_31_110.png,0.0,6
415,80156,5,25,4,130,s4/o25/C_04_25_130.png,0.0,8
349,139460,9,43,4,70,s4/o43/C_04_43_070.png,0.0,0
352,155084,10,48,1,110,s1/o48/C_01_48_110.png,0.0,5
542,122593,8,38,2,290,s2/o38/C_02_38_290.png,0.0,7
1005,111159,7,34,8,250,s8/o34/C_08_34_250.png,0.0,6
178,54485,4,17,6,250,s6/o17/C_06_17_250.png,0.0,2
957,74137,5,23,6,110,s6/o23/C_06_23_110.png,0.0,8
70,138780,9,43,1,290,s1/o43/C_01_43_290.png,0.0,0
1151,18193,2,6,6,210,s6/o6/C_06_06_210.png,0.0,4
674,90084,6,28,4,170,s4/o28/C_04_28_170.png,0.0,1
592,117857,8,36,9,50,s9/o36/C_09_36_050.png,0.0,7
792,109779,7,34,4,70,s4/o34/C_04_34_070.png,0.0,6
128,69021,5,21,11,90,s11/o21/C_11_21_090.png,0.0,8
354,103222,7,32,4,110,s4/o32/C_04_32_110.png,0.0,6
1120,139978,9,43,5,290,s5/o43/C_05_43_290.png,0.0,0
48,116477,8,36,4,170,s4/o36/C_04_36_170.png,0.0,7
913,70319,5,22,4,190,s4/o22/C_04_22_190.png,0.0,8
456,118977,8,37,1,270,s1/o37/C_01_37_270.png,0.0,7
87,120334,8,37,6,130,s6/o37/C_06_37_130.png,0.0,7
1085,94502,6,29,8,90,s8/o29/C_08_29_090.png,0.0,1
468,42950,3,14,1,90,s1/o14/C_01_14_090.png,0.0,3
1093,57045,4,18,4,110,s4/o18/C_04_18_110.png,0.0,2
423,140917,9,43,9,30,s9/o43/C_09_43_030.png,0.0,0
1139,134940,9,41,11,50,s11/o41/C_11_41_050.png,0.0,0
130,35635,3,11,9,270,s9/o11/C_09_11_270.png,0.0,3
950,153967,10,47,8,190,s8/o47/C_08_47_190.png,0.0,5
270,109079,7,34,1,270,s1/o34/C_01_34_270.png,0.0,6
744,25472,2,8,8,290,s8/o8/C_08_08_290.png,0.0,4
882,66001,5,21,1,70,s1/o21/C_01_21_070.png,0.0,8
612,98822,6,30,11,210,s11/o30/C_11_30_210.png,0.0,1
1047,150828,10,46,9,50,s9/o46/C_09_46_050.png,0.0,5
665,24053,2,8,4,70,s4/o8/C_04_08_070.png,0.0,4
715,106899,7,33,5,190,s5/o33/C_05_33_190.png,0.0,6
155,80335,5,25,5,10,s5/o25/C_05_25_010.png,0.0,8
1138,33319,3,11,2,50,s2/o11/C_02_11_050.png,0.0,3
411,66421,5,21,2,190,s2/o21/C_02_21_190.png,0.0,8
1084,73897,5,23,5,170,s5/o23/C_05_23_170.png,0.0,8
1027,36194,3,11,11,230,s11/o11/C_11_11_230.png,0.0,3
30,1029,1,1,4,130,s4/o1/C_04_01_130.png,0.0,9
710,45427,3,14,9,170,s9/o14/C_09_14_170.png,0.0,3
464,12936,1,4,11,50,s11/o4/C_11_04_050.png,0.0,9
1187,139818,9,43,5,130,s5/o43/C_05_43_130.png,0.0,0
751,2448,1,1,9,50,s9/o1/C_09_01_050.png,0.0,9
194,26289,2,8,11,210,s11/o8/C_11_08_210.png,0.0,4
787,96722,6,30,4,210,s4/o30/C_04_30_210.png,0.0,1
1070,37990,3,12,6,230,s6/o12/C_06_12_230.png,0.0,3
1055,126524,8,39,5,30,s5/o39/C_05_39_030.png,0.0,7
790,134200,9,41,8,210,s8/o41/C_08_41_210.png,0.0,0
179,156023,10,48,4,150,s4/o48/C_04_48_150.png,0.0,5
1158,149848,10,46,5,270,s5/o46/C_05_46_270.png,0.0,5
391,87184,6,27,5,270,s5/o27/C_05_27_270.png,0.0,1
1056,93822,6,29,6,10,s6/o29/C_06_29_010.png,0.0,1
10,96622,6,30,4,110,s4/o30/C_04_30_110.png,0.0,1
67,49982,4,16,2,230,s2/o16/C_02_16_230.png,0.0,2
997,87964,6,27,8,150,s8/o27/C_08_27_150.png,0.0,1
209,107999,7,33,9,90,s9/o33/C_09_33_090.png,0.0,6
145,138960,9,43,2,170,s2/o43/C_02_43_170.png,0.0,0
487,137300,9,42,8,10,s8/o42/C_08_42_010.png,0.0,0
1185,27427,2,9,4,150,s4/o9/C_04_09_150.png,0.0,4
931,55845,4,17,11,110,s11/o17/C_11_17_110.png,0.0,2
843,58305,4,18,8,170,s8/o18/C_08_18_170.png,0.0,2
763,81455,5,25,8,230,s8/o25/C_08_25_230.png,0.0,8
92,10197,1,4,2,10,s2/o4/C_02_04_010.png,0.0,9
934,83530,6,26,4,210,s4/o26/C_04_26_210.png,0.0,1
986,74957,5,23,9,30,s9/o23/C_09_23_030.png,0.0,8
1097,65241,4,20,9,210,s9/o20/C_09_20_210.png,0.0,2
820,64241,4,20,6,110,s6/o20/C_06_20_110.png,0.0,2
195,113478,7,35,5,170,s5/o35/C_05_35_170.png,0.0,6
296,112219,7,35,1,110,s1/o35/C_01_35_110.png,0.0,6
1045,20213,2,7,2,130,s2/o7/C_02_07_130.png,0.0,4
498,46127,3,14,11,270,s11/o14/C_11_14_270.png,0.0,3
1134,26607,2,9,1,230,s1/o9/C_01_09_230.png,0.0,4
1188,64001,4,20,5,170,s5/o20/C_05_20_170.png,0.0,2
1104,77077,5,24,5,50,s5/o24/C_05_24_050.png,0.0,8
1059,45187,3,14,8,230,s8/o14/C_08_14_230.png,0.0,3
1135,88864,6,27,11,150,s11/o27/C_11_27_150.png,0.0,1
1089,60943,4,19,6,110,s6/o19/C_06_19_110.png,0.0,2
686,50997,4,16,6,50,s6/o16/C_06_16_050.png,0.0,2
759,3128,1,1,11,130,s11/o1/C_11_01_130.png,0.0,9
86,969,1,1,4,70,s4/o1/C_04_01_070.png,0.0,9
1181,84528,6,26,8,10,s8/o26/C_08_26_010.png,0.0,1
199,36753,3,12,2,190,s2/o12/C_02_12_190.png,0.0,3
505,16613,2,6,1,130,s1/o6/C_01_06_130.png,0.0,4
869,12236,1,4,8,250,s8/o4/C_08_04_250.png,0.0,9
783,147249,9,45,8,70,s8/o45/C_08_45_070.png,0.0,0
347,15534,1,5,8,250,s8/o5/C_08_05_250.png,0.0,9
