,Unnamed: 0,class,object,session,im_num,im_path,task,label
0,70139,5,22,4,10,s4/o22/C_04_22_010.png,0,0
1,70159,5,22,4,30,s4/o22/C_04_22_030.png,0,0
2,70179,5,22,4,50,s4/o22/C_04_22_050.png,0,0
3,70199,5,22,4,70,s4/o22/C_04_22_070.png,0,0
4,70219,5,22,4,90,s4/o22/C_04_22_090.png,0,0
5,70239,5,22,4,110,s4/o22/C_04_22_110.png,0,0
6,70259,5,22,4,130,s4/o22/C_04_22_130.png,0,0
7,70279,5,22,4,150,s4/o22/C_04_22_150.png,0,0
8,70299,5,22,4,170,s4/o22/C_04_22_170.png,0,0
9,70319,5,22,4,190,s4/o22/C_04_22_190.png,0,0
10,70339,5,22,4,210,s4/o22/C_04_22_210.png,0,0
11,70359,5,22,4,230,s4/o22/C_04_22_230.png,0,0
12,70379,5,22,4,250,s4/o22/C_04_22_250.png,0,0
13,70399,5,22,4,270,s4/o22/C_04_22_270.png,0,0
14,70419,5,22,4,290,s4/o22/C_04_22_290.png,0,0
15,120813,8,37,8,10,s8/o37/C_08_37_010.png,0,1
16,120833,8,37,8,30,s8/o37/C_08_37_030.png,0,1
17,120853,8,37,8,50,s8/o37/C_08_37_050.png,0,1
18,120873,8,37,8,70,s8/o37/C_08_37_070.png,0,1
19,120893,8,37,8,90,s8/o37/C_08_37_090.png,0,1
20,120913,8,37,8,110,s8/o37/C_08_37_110.png,0,1
21,120933,8,37,8,130,s8/o37/C_08_37_130.png,0,1
22,120953,8,37,8,150,s8/o37/C_08_37_150.png,0,1
23,120973,8,37,8,170,s8/o37/C_08_37_170.png,0,1
24,120993,8,37,8,190,s8/o37/C_08_37_190.png,0,1
25,121013,8,37,8,210,s8/o37/C_08_37_210.png,0,1
26,121033,8,37,8,230,s8/o37/C_08_37_230.png,0,1
27,121053,8,37,8,250,s8/o37/C_08_37_250.png,0,1
28,121073,8,37,8,270,s8/o37/C_08_37_270.png,0,1
29,121093,8,37,8,290,s8/o37/C_08_37_290.png,0,1
30,140598,9,43,8,10,s8/o43/C_08_43_010.png,0,2
31,140618,9,43,8,30,s8/o43/C_08_43_030.png,0,2
32,140638,9,43,8,50,s8/o43/C_08_43_050.png,0,2
33,140658,9,43,8,70,s8/o43/C_08_43_070.png,0,2
34,140678,9,43,8,90,s8/o43/C_08_43_090.png,0,2
35,140698,9,43,8,110,s8/o43/C_08_43_110.png,0,2
36,140718,9,43,8,130,s8/o43/C_08_43_130.png,0,2
37,140738,9,43,8,150,s8/o43/C_08_43_150.png,0,2
38,140758,9,43,8,170,s8/o43/C_08_43_170.png,0,2
39,140778,9,43,8,190,s8/o43/C_08_43_190.png,0,2
40,140798,9,43,8,210,s8/o43/C_08_43_210.png,0,2
41,140818,9,43,8,230,s8/o43/C_08_43_230.png,0,2
42,140838,9,43,8,250,s8/o43/C_08_43_250.png,0,2
43,140858,9,43,8,270,s8/o43/C_08_43_270.png,0,2
44,140878,9,43,8,290,s8/o43/C_08_43_290.png,0,2
45,121113,8,37,9,10,s9/o37/C_09_37_010.png,0,1
46,121133,8,37,9,30,s9/o37/C_09_37_030.png,0,1
47,121153,8,37,9,50,s9/o37/C_09_37_050.png,0,1
48,121173,8,37,9,70,s9/o37/C_09_37_070.png,0,1
49,121193,8,37,9,90,s9/o37/C_09_37_090.png,0,1
50,121213,8,37,9,110,s9/o37/C_09_37_110.png,0,1
51,121233,8,37,9,130,s9/o37/C_09_37_130.png,0,1
52,121253,8,37,9,150,s9/o37/C_09_37_150.png,0,1
53,121273,8,37,9,170,s9/o37/C_09_37_170.png,0,1
54,121293,8,37,9,190,s9/o37/C_09_37_190.png,0,1
55,121313,8,37,9,210,s9/o37/C_09_37_210.png,0,1
56,121333,8,37,9,230,s9/o37/C_09_37_230.png,0,1
57,121353,8,37,9,250,s9/o37/C_09_37_250.png,0,1
58,121373,8,37,9,270,s9/o37/C_09_37_270.png,0,1
59,121393,8,37,9,290,s9/o37/C_09_37_290.png,0,1
60,149588,10,46,5,10,s5/o46/C_05_46_010.png,0,3
61,149608,10,46,5,30,s5/o46/C_05_46_030.png,0,3
62,149628,10,46,5,50,s5/o46/C_05_46_050.png,0,3
63,149648,10,46,5,70,s5/o46/C_05_46_070.png,0,3
64,149668,10,46,5,90,s5/o46/C_05_46_090.png,0,3
65,149688,10,46,5,110,s5/o46/C_05_46_110.png,0,3
66,149708,10,46,5,130,s5/o46/C_05_46_130.png,0,3
67,149728,10,46,5,150,s5/o46/C_05_46_150.png,0,3
68,149748,10,46,5,170,s5/o46/C_05_46_170.png,0,3
69,149768,10,46,5,190,s5/o46/C_05_46_190.png,0,3
70,149788,10,46,5,210,s5/o46/C_05_46_210.png,0,3
71,149808,10,46,5,230,s5/o46/C_05_46_230.png,0,3
72,149828,10,46,5,250,s5/o46/C_05_46_250.png,0,3
73,149848,10,46,5,270,s5/o46/C_05_46_270.png,0,3
74,149868,10,46,5,290,s5/o46/C_05_46_290.png,0,3
75,24293,2,8,5,10,s5/o8/C_05_08_010.png,0,4
76,24313,2,8,5,30,s5/o8/C_05_08_030.png,0,4
77,24333,2,8,5,50,s5/o8/C_05_08_050.png,0,4
78,24353,2,8,5,70,s5/o8/C_05_08_070.png,0,4
79,24373,2,8,5,90,s5/o8/C_05_08_090.png,0,4
80,24393,2,8,5,110,s5/o8/C_05_08_110.png,0,4
81,24413,2,8,5,130,s5/o8/C_05_08_130.png,0,4
82,24433,2,8,5,150,s5/o8/C_05_08_150.png,0,4
83,24453,2,8,5,170,s5/o8/C_05_08_170.png,0,4
84,24473,2,8,5,190,s5/o8/C_05_08_190.png,0,4
85,24493,2,8,5,210,s5/o8/C_05_08_210.png,0,4
86,24513,2,8,5,230,s5/o8/C_05_08_230.png,0,4
87,24533,2,8,5,250,s5/o8/C_05_08_250.png,0,4
