,Unnamed: 0,class,object,session,im_num,im_path,task,label
0,56345,4,18,2,10,s2/o18/C_02_18_010.png,0,0
1,56365,4,18,2,30,s2/o18/C_02_18_030.png,0,0
2,56385,4,18,2,50,s2/o18/C_02_18_050.png,0,0
3,56405,4,18,2,70,s2/o18/C_02_18_070.png,0,0
4,56425,4,18,2,90,s2/o18/C_02_18_090.png,0,0
5,56445,4,18,2,110,s2/o18/C_02_18_110.png,0,0
6,56465,4,18,2,130,s2/o18/C_02_18_130.png,0,0
7,56485,4,18,2,150,s2/o18/C_02_18_150.png,0,0
8,56505,4,18,2,170,s2/o18/C_02_18_170.png,0,0
9,56525,4,18,2,190,s2/o18/C_02_18_190.png,0,0
10,56545,4,18,2,210,s2/o18/C_02_18_210.png,0,0
11,56565,4,18,2,230,s2/o18/C_02_18_230.png,0,0
12,56585,4,18,2,250,s2/o18/C_02_18_250.png,0,0
13,56605,4,18,2,270,s2/o18/C_02_18_270.png,0,0
14,56625,4,18,2,290,s2/o18/C_02_18_290.png,0,0
15,56945,4,18,4,10,s4/o18/C_04_18_010.png,0,0
16,56965,4,18,4,30,s4/o18/C_04_18_030.png,0,0
17,56985,4,18,4,50,s4/o18/C_04_18_050.png,0,0
18,57005,4,18,4,70,s4/o18/C_04_18_070.png,0,0
19,57025,4,18,4,90,s4/o18/C_04_18_090.png,0,0
20,57045,4,18,4,110,s4/o18/C_04_18_110.png,0,0
21,57065,4,18,4,130,s4/o18/C_04_18_130.png,0,0
22,57085,4,18,4,150,s4/o18/C_04_18_150.png,0,0
23,57105,4,18,4,170,s4/o18/C_04_18_170.png,0,0
24,57125,4,18,4,190,s4/o18/C_04_18_190.png,0,0
25,57145,4,18,4,210,s4/o18/C_04_18_210.png,0,0
26,57165,4,18,4,230,s4/o18/C_04_18_230.png,0,0
27,57185,4,18,4,250,s4/o18/C_04_18_250.png,0,0
28,57205,4,18,4,270,s4/o18/C_04_18_270.png,0,0
29,57225,4,18,4,290,s4/o18/C_04_18_290.png,0,0
30,5402,1,2,8,10,s8/o2/C_08_02_010.png,0,1
31,5422,1,2,8,30,s8/o2/C_08_02_030.png,0,1
32,5442,1,2,8,50,s8/o2/C_08_02_050.png,0,1
33,5462,1,2,8,70,s8/o2/C_08_02_070.png,0,1
34,5482,1,2,8,90,s8/o2/C_08_02_090.png,0,1
35,5502,1,2,8,110,s8/o2/C_08_02_110.png,0,1
36,5522,1,2,8,130,s8/o2/C_08_02_130.png,0,1
37,5542,1,2,8,150,s8/o2/C_08_02_150.png,0,1
38,5562,1,2,8,170,s8/o2/C_08_02_170.png,0,1
39,5582,1,2,8,190,s8/o2/C_08_02_190.png,0,1
40,5602,1,2,8,210,s8/o2/C_08_02_210.png,0,1
41,5622,1,2,8,230,s8/o2/C_08_02_230.png,0,1
42,5642,1,2,8,250,s8/o2/C_08_02_250.png,0,1
43,5662,1,2,8,270,s8/o2/C_08_02_270.png,0,1
44,5682,1,2,8,290,s8/o2/C_08_02_290.png,0,1
45,39270,3,12,11,10,s11/o12/C_11_12_010.png,0,2
46,39290,3,12,11,30,s11/o12/C_11_12_030.png,0,2
47,39310,3,12,11,50,s11/o12/C_11_12_050.png,0,2
48,39330,3,12,11,70,s11/o12/C_11_12_070.png,0,2
49,39350,3,12,11,90,s11/o12/C_11_12_090.png,0,2
50,39370,3,12,11,110,s11/o12/C_11_12_110.png,0,2
51,39390,3,12,11,130,s11/o12/C_11_12_130.png,0,2
52,39410,3,12,11,150,s11/o12/C_11_12_150.png,0,2
53,39430,3,12,11,170,s11/o12/C_11_12_170.png,0,2
54,39450,3,12,11,190,s11/o12/C_11_12_190.png,0,2
55,39470,3,12,11,210,s11/o12/C_11_12_210.png,0,2
56,39490,3,12,11,230,s11/o12/C_11_12_230.png,0,2
57,39510,3,12,11,250,s11/o12/C_11_12_250.png,0,2
58,39530,3,12,11,270,s11/o12/C_11_12_270.png,0,2
59,39550,3,12,11,290,s11/o12/C_11_12_290.png,0,2
60,72237,5,22,11,10,s11/o22/C_11_22_010.png,0,3
61,72257,5,22,11,30,s11/o22/C_11_22_030.png,0,3
62,72277,5,22,11,50,s11/o22/C_11_22_050.png,0,3
63,72297,5,22,11,70,s11/o22/C_11_22_070.png,0,3
64,72317,5,22,11,90,s11/o22/C_11_22_090.png,0,3
65,72337,5,22,11,110,s11/o22/C_11_22_110.png,0,3
66,72357,5,22,11,130,s11/o22/C_11_22_130.png,0,3
67,72377,5,22,11,150,s11/o22/C_11_22_150.png,0,3
68,72397,5,22,11,170,s11/o22/C_11_22_170.png,0,3
69,72417,5,22,11,190,s11/o22/C_11_22_190.png,0,3
70,72437,5,22,11,210,s11/o22/C_11_22_210.png,0,3
71,72457,5,22,11,230,s11/o22/C_11_22_230.png,0,3
72,72477,5,22,11,250,s11/o22/C_11_22_250.png,0,3
73,72497,5,22,11,270,s11/o22/C_11_22_270.png,0,3
74,72517,5,22,11,290,s11/o22/C_11_22_290.png,0,3
75,117517,8,36,8,10,s8/o36/C_08_36_010.png,0,4
76,117537,8,36,8,30,s8/o36/C_08_36_030.png,0,4
77,117557,8,36,8,50,s8/o36/C_08_36_050.png,0,4
78,117577,8,36,8,70,s8/o36/C_08_36_070.png,0,4
79,117597,8,36,8,90,s8/o36/C_08_36_090.png,0,4
80,117617,8,36,8,110,s8/o36/C_08_36_110.png,0,4
81,117637,8,36,8,130,s8/o36/C_08_36_130.png,0,4
82,117657,8,36,8,150,s8/o36/C_08_36_150.png,0,4
83,117677,8,36,8,170,s8/o36/C_08_36_170.png,0,4
84,117697,8,36,8,190,s8/o36/C_08_36_190.png,0,4
85,117717,8,36,8,210,s8/o36/C_08_36_210.png,0,4
86,117737,8,36,8,230,s8/o36/C_08_36_230.png,0,4
87,117757,8,36,8,250,s8/o36/C_08_36_250.png,0,4
88,117777,8,36,8,270,s8/o36/C_08_36_270.png,0,4
89,117797,8,36,8,290,s8/o36/C_08_36_290.png,0,4
90,23093,2,8,1,10,s1/o8/C_01_08_010.png,0,5
91,23113,2,8,1,30,s1/o8/C_01_08_030.png,0,5
92,23133,2,8,1,50,s1/o8/C_01_08_050.png,0,5
93,23153,2,8,1,70,s1/o8/C_01_08_070.png,0,5
94,23173,2,8,1,90,s1/o8/C_01_08_090.png,0,5
95,23193,2,8,1,110,s1/o8/C_01_08_110.png,0,5
96,23213,2,8,1,130,s1/o8/C_01_08_130.png,0,5
97,23233,2,8,1,150,s1/o8/C_01_08_150.png,0,5
98,23253,2,8,1,170,s1/o8/C_01_08_170.png,0,5
99,23273,2,8,1,190,s1/o8/C_01_08_190.png,0,5
100,23293,2,8,1,210,s1/o8/C_01_08_210.png,0,5
101,23313,2,8,1,230,s1/o8/C_01_08_230.png,0,5
102,23333,2,8,1,250,s1/o8/C_01_08_250.png,0,5
103,23353,2,8,1,270,s1/o8/C_01_08_270.png,0,5
104,23373,2,8,1,290,s1/o8/C_01_08_290.png,0,5
105,110919,7,34,8,10,s8/o34/C_08_34_010.png,0,6
106,110939,7,34,8,30,s8/o34/C_08_34_030.png,0,6
107,110959,7,34,8,50,s8/o34/C_08_34_050.png,0,6
108,110979,7,34,8,70,s8/o34/C_08_34_070.png,0,6
109,110999,7,34,8,90,s8/o34/C_08_34_090.png,0,6
110,111019,7,34,8,110,s8/o34/C_08_34_110.png,0,6
111,111039,7,34,8,130,s8/o34/C_08_34_130.png,0,6
112,111059,7,34,8,150,s8/o34/C_08_34_150.png,0,6
113,111079,7,34,8,170,s8/o34/C_08_34_170.png,0,6
114,111099,7,34,8,190,s8/o34/C_08_34_190.png,0,6
115,111119,7,34,8,210,s8/o34/C_08_34_210.png,0,6
116,111139,7,34,8,230,s8/o34/C_08_34_230.png,0,6
117,111159,7,34,8,250,s8/o34/C_08_34_250.png,0,6
118,111179,7,34,8,270,s8/o34/C_08_34_270.png,0,6
119,111199,7,34,8,290,s8/o34/C_08_34_290.png,0,6
120,134900,9,41,11,10,s11/o41/C_11_41_010.png,0,7
121,134920,9,41,11,30,s11/o41/C_11_41_030.png,0,7
122,134940,9,41,11,50,s11/o41/C_11_41_050.png,0,7
123,134960,9,41,11,70,s11/o41/C_11_41_070.png,0,7
124,134980,9,41,11,90,s11/o41/C_11_41_090.png,0,7
125,135000,9,41,11,110,s11/o41/C_11_41_110.png,0,7
126,135020,9,41,11,130,s11/o41/C_11_41_130.png,0,7
127,135040,9,41,11,150,s11/o41/C_11_41_150.png,0,7
128,135060,9,41,11,170,s11/o41/C_11_41_170.png,0,7
129,135080,9,41,11,190,s11/o41/C_11_41_190.png,0,7
130,135100,9,41,11,210,s11/o41/C_11_41_210.png,0,7
131,135120,9,41,11,230,s11/o41/C_11_41_230.png,0,7
132,135140,9,41,11,250,s11/o41/C_11_41_250.png,0,7
