,class,object,session,im_num,im_path
0,1,1,1,1,household/cup_01_pivothead/cup_01_pivothead_rxplus_1.png
1,1,1,1,2,household/cup_01_pivothead/cup_01_pivothead_rxplus_2.png
2,1,1,1,3,household/cup_01_pivothead/cup_01_pivothead_rxplus_3.png
3,1,1,1,4,household/cup_01_pivothead/cup_01_pivothead_rxplus_4.png
4,1,1,1,5,household/cup_01_pivothead/cup_01_pivothead_rxplus_5.png
5,1,1,1,6,household/cup_01_pivothead/cup_01_pivothead_rxplus_6.png
6,1,1,1,7,household/cup_01_pivothead/cup_01_pivothead_rxplus_7.png
7,1,1,1,8,household/cup_01_pivothead/cup_01_pivothead_rxplus_8.png
8,1,1,1,9,household/cup_01_pivothead/cup_01_pivothead_rxplus_9.png
9,1,1,1,10,household/cup_01_pivothead/cup_01_pivothead_rxplus_10.png
10,1,1,1,11,household/cup_01_pivothead/cup_01_pivothead_rxplus_11.png
11,1,1,1,12,household/cup_01_pivothead/cup_01_pivothead_rxplus_12.png
12,1,1,1,13,household/cup_01_pivothead/cup_01_pivothead_rxplus_13.png
13,1,1,1,14,household/cup_01_pivothead/cup_01_pivothead_rxplus_14.png
14,1,1,1,15,household/cup_01_pivothead/cup_01_pivothead_rxplus_15.png
15,1,1,2,1,household/cup_01_pivothead/cup_01_pivothead_ryplus_1.png
16,1,1,2,2,household/cup_01_pivothead/cup_01_pivothead_ryplus_2.png
17,1,1,2,3,household/cup_01_pivothead/cup_01_pivothead_ryplus_3.png
18,1,1,2,4,household/cup_01_pivothead/cup_01_pivothead_ryplus_4.png
19,1,1,2,5,household/cup_01_pivothead/cup_01_pivothead_ryplus_5.png
20,1,1,2,6,household/cup_01_pivothead/cup_01_pivothead_ryplus_6.png
21,1,1,2,7,household/cup_01_pivothead/cup_01_pivothead_ryplus_7.png
22,1,1,2,8,household/cup_01_pivothead/cup_01_pivothead_ryplus_8.png
23,1,1,2,9,household/cup_01_pivothead/cup_01_pivothead_ryplus_9.png
24,1,1,2,10,household/cup_01_pivothead/cup_01_pivothead_ryplus_10.png
25,1,1,2,11,household/cup_01_pivothead/cup_01_pivothead_ryplus_11.png
26,1,1,2,12,household/cup_01_pivothead/cup_01_pivothead_ryplus_12.png
27,1,1,2,13,household/cup_01_pivothead/cup_01_pivothead_ryplus_13.png
28,1,1,2,14,household/cup_01_pivothead/cup_01_pivothead_ryplus_14.png
29,1,1,2,15,household/cup_01_pivothead/cup_01_pivothead_ryplus_15.png
30,1,1,3,1,household/cup_01_pivothead/cup_01_pivothead_rzplus_1.png
31,1,1,3,2,household/cup_01_pivothead/cup_01_pivothead_rzplus_2.png
32,1,1,3,3,household/cup_01_pivothead/cup_01_pivothead_rzplus_3.png
33,1,1,3,4,household/cup_01_pivothead/cup_01_pivothead_rzplus_4.png
34,1,1,3,5,household/cup_01_pivothead/cup_01_pivothead_rzplus_5.png
35,1,1,3,6,household/cup_01_pivothead/cup_01_pivothead_rzplus_6.png
36,1,1,3,7,household/cup_01_pivothead/cup_01_pivothead_rzplus_7.png
37,1,1,3,8,household/cup_01_pivothead/cup_01_pivothead_rzplus_8.png
38,1,1,3,9,household/cup_01_pivothead/cup_01_pivothead_rzplus_9.png
39,1,1,3,10,household/cup_01_pivothead/cup_01_pivothead_rzplus_10.png
40,1,1,3,11,household/cup_01_pivothead/cup_01_pivothead_rzplus_11.png
41,1,1,3,12,household/cup_01_pivothead/cup_01_pivothead_rzplus_12.png
42,1,1,3,13,household/cup_01_pivothead/cup_01_pivothead_rzplus_13.png
43,1,1,3,14,household/cup_01_pivothead/cup_01_pivothead_rzplus_14.png
44,1,1,3,15,household/cup_01_pivothead/cup_01_pivothead_rzplus_15.png
45,1,1,4,1,household/cup_01_pivothead/cup_01_pivothead_rxminus_1.png
46,1,1,4,2,household/cup_01_pivothead/cup_01_pivothead_rxminus_2.png
47,1,1,4,3,household/cup_01_pivothead/cup_01_pivothead_rxminus_3.png
48,1,1,4,4,household/cup_01_pivothead/cup_01_pivothead_rxminus_4.png
49,1,1,4,5,household/cup_01_pivothead/cup_01_pivothead_rxminus_5.png
50,1,1,4,6,household/cup_01_pivothead/cup_01_pivothead_rxminus_6.png
51,1,1,4,7,household/cup_01_pivothead/cup_01_pivothead_rxminus_7.png
52,1,1,4,8,household/cup_01_pivothead/cup_01_pivothead_rxminus_8.png
53,1,1,4,9,household/cup_01_pivothead/cup_01_pivothead_rxminus_9.png
54,1,1,4,10,household/cup_01_pivothead/cup_01_pivothead_rxminus_10.png
55,1,1,4,11,household/cup_01_pivothead/cup_01_pivothead_rxminus_11.png
56,1,1,4,12,household/cup_01_pivothead/cup_01_pivothead_rxminus_12.png
57,1,1,4,13,household/cup_01_pivothead/cup_01_pivothead_rxminus_13.png
58,1,1,4,14,household/cup_01_pivothead/cup_01_pivothead_rxminus_14.png
59,1,1,4,15,household/cup_01_pivothead/cup_01_pivothead_rxminus_15.png
60,1,1,5,1,household/cup_01_pivothead/cup_01_pivothead_ryminus_1.png
61,1,1,5,2,household/cup_01_pivothead/cup_01_pivothead_ryminus_2.png
62,1,1,5,3,household/cup_01_pivothead/cup_01_pivothead_ryminus_3.png
63,1,1,5,4,household/cup_01_pivothead/cup_01_pivothead_ryminus_4.png
64,1,1,5,5,household/cup_01_pivothead/cup_01_pivothead_ryminus_5.png
65,1,1,5,6,household/cup_01_pivothead/cup_01_pivothead_ryminus_6.png
66,1,1,5,7,household/cup_01_pivothead/cup_01_pivothead_ryminus_7.png
67,1,1,5,8,household/cup_01_pivothead/cup_01_pivothead_ryminus_8.png
68,1,1,5,9,household/cup_01_pivothead/cup_01_pivothead_ryminus_9.png
69,1,1,5,10,household/cup_01_pivothead/cup_01_pivothead_ryminus_10.png
70,1,1,5,11,household/cup_01_pivothead/cup_01_pivothead_ryminus_11.png
71,1,1,5,12,household/cup_01_pivothead/cup_01_pivothead_ryminus_12.png
72,1,1,5,13,household/cup_01_pivothead/cup_01_pivothead_ryminus_13.png
73,1,1,5,14,household/cup_01_pivothead/cup_01_pivothead_ryminus_14.png
74,1,1,5,15,household/cup_01_pivothead/cup_01_pivothead_ryminus_15.png
75,1,1,6,1,household/cup_01_pivothead/cup_01_pivothead_rzminus_1.png
76,1,1,6,2,household/cup_01_pivothead/cup_01_pivothead_rzminus_2.png
77,1,1,6,3,household/cup_01_pivothead/cup_01_pivothead_rzminus_3.png
78,1,1,6,4,household/cup_01_pivothead/cup_01_pivothead_rzminus_4.png
79,1,1,6,5,household/cup_01_pivothead/cup_01_pivothead_rzminus_5.png
80,1,1,6,6,household/cup_01_pivothead/cup_01_pivothead_rzminus_6.png
81,1,1,6,7,household/cup_01_pivothead/cup_01_pivothead_rzminus_7.png
82,1,1,6,8,household/cup_01_pivothead/cup_01_pivothead_rzminus_8.png
83,1,1,6,9,household/cup_01_pivothead/cup_01_pivothead_rzminus_9.png
84,1,1,6,10,household/cup_01_pivothead/cup_01_pivothead_rzminus_10.png
85,1,1,6,11,household/cup_01_pivothead/cup_01_pivothead_rzminus_11.png
86,1,1,6,12,household/cup_01_pivothead/cup_01_pivothead_rzminus_12.png
87,1,1,6,13,household/cup_01_pivothead/cup_01_pivothead_rzminus_13.png
88,1,1,6,14,household/cup_01_pivothead/cup_01_pivothead_rzminus_14.png
89,1,1,6,15,household/cup_01_pivothead/cup_01_pivothead_rzminus_15.png
90,1,1,7,1,household/cup_01_pivothead/cup_01_pivothead_tx_1.png
91,1,1,7,2,household/cup_01_pivothead/cup_01_pivothead_tx_2.png
92,1,1,7,3,household/cup_01_pivothead/cup_01_pivothead_tx_3.png
93,1,1,7,4,household/cup_01_pivothead/cup_01_pivothead_tx_4.png
94,1,1,7,5,household/cup_01_pivothead/cup_01_pivothead_tx_5.png
95,1,1,7,6,household/cup_01_pivothead/cup_01_pivothead_tx_6.png
96,1,1,7,7,household/cup_01_pivothead/cup_01_pivothead_tx_7.png
97,1,1,7,8,household/cup_01_pivothead/cup_01_pivothead_tx_8.png
98,1,1,7,9,household/cup_01_pivothead/cup_01_pivothead_tx_9.png
99,1,1,7,10,household/cup_01_pivothead/cup_01_pivothead_tx_10.png
100,1,1,7,11,household/cup_01_pivothead/cup_01_pivothead_tx_11.png
101,1,1,7,12,household/cup_01_pivothead/cup_01_pivothead_tx_12.png
102,1,1,7,13,household/cup_01_pivothead/cup_01_pivothead_tx_13.png
103,1,1,7,14,household/cup_01_pivothead/cup_01_pivothead_tx_14.png
104,1,1,7,15,household/cup_01_pivothead/cup_01_pivothead_tx_15.png
105,1,1,8,1,household/cup_01_pivothead/cup_01_pivothead_ty_1.png
106,1,1,8,2,household/cup_01_pivothead/cup_01_pivothead_ty_2.png
